src_ip,unq_dst_ip,allow,drop,frequency,pkts_sent,pkts_received,bytesin,bytesout,unq_dst_port,timestamp
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-10 11:00:00
229.46.205.74,190,2766,1008,3774,82731,146421,9701520,172948298,4,2022-01-10 11:00:00
46.39.79.251,3,9,2,11,56,42,8353,18015,2,2022-01-10 12:00:00
187.44.158.33,4,27,10,37,138,68,15430,9845,3,2022-01-10 12:00:00
229.46.205.74,129,2096,792,2888,20922,26321,4380713,18339292,4,2022-01-10 12:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-10 13:00:00
229.46.205.74,22,77,24,101,525,468,108719,114000,4,2022-01-10 13:00:00
187.44.158.33,3,26,9,35,125,56,11909,5220,2,2022-01-10 13:00:00
46.39.79.251,3,18,1,19,165,137,23372,79007,2,2022-01-10 14:00:00
229.46.205.74,79,1474,579,2053,19876,31479,3509574,29028656,4,2022-01-10 14:00:00
187.44.158.33,5,30,11,41,146,76,14225,14830,3,2022-01-10 14:00:00
229.46.205.74,19,69,22,91,505,462,113078,112778,4,2022-01-10 15:00:00
46.39.79.251,2,6,0,6,24,18,2947,7420,2,2022-01-10 15:00:00
187.44.158.33,5,30,11,41,175,120,27427,65474,3,2022-01-10 15:00:00
229.46.205.74,131,3346,1295,4641,38582,48908,7071440,33229186,4,2022-01-10 16:00:00
187.44.158.33,10,44,16,60,197,110,20610,23114,3,2022-01-10 16:00:00
46.39.79.251,2,4,0,4,22,17,2767,7330,2,2022-01-10 16:00:00
46.39.79.251,2,3,0,3,18,13,2448,7054,2,2022-01-10 17:00:00
187.44.158.33,9,98,45,143,17578,35755,1482517,53448998,3,2022-01-10 17:00:00
229.46.205.74,29,168,57,225,7507,15643,690675,19336640,4,2022-01-10 17:00:00
229.46.205.74,33,165,51,216,2572,3072,413647,1586727,4,2022-01-10 18:00:00
187.44.158.33,5,32,12,44,198,132,42184,63580,3,2022-01-10 18:00:00
46.39.79.251,3,8,2,10,56,42,8409,17991,2,2022-01-10 18:00:00
229.46.205.74,35,179,64,243,7617,9091,765621,3910747,4,2022-01-11 08:00:00
